KombinationsID,Position,Strategie,Gewinne,Zuge,Hat_Gekickt,Wurde_Gekickt,Token_in_Winspot_gesetzt
0,Player 1,strategies.DefensiveStrategy,28,225,99,114,287
0,Player 2,strategies.DefensiveStrategy,20,225,82,85,274
0,Player 3,strategies.DefensiveStrategy,30,225,104,93,281
0,Player 4,strategies.DefensiveStrategy,25,225,106,99,283
1,Player 1,strategies.DefensiveStrategy,36,246,130,248,304
1,Player 2,strategies.DefensiveStrategy,24,246,95,241,279
1,Player 3,strategies.DefensiveStrategy,32,246,110,197,288
1,Player 4,strategies.MixedStrategy,11,246,466,115,215
2,Player 1,strategies.DefensiveStrategy,10,198,89,98,262
2,Player 2,strategies.DefensiveStrategy,13,198,78,83,235
2,Player 3,strategies.DefensiveStrategy,5,198,97,98,239
2,Player 4,strategies.MoveFirstStrategy,74,198,80,65,365
3,Player 1,strategies.DefensiveStrategy,16,211,95,69,277
3,Player 2,strategies.DefensiveStrategy,16,211,97,101,258
3,Player 3,strategies.DefensiveStrategy,17,211,78,87,258
3,Player 4,strategies.MoveLastStrategy,54,211,72,85,313
4,Player 1,strategies.DefensiveStrategy,29,249,92,93,294
4,Player 2,strategies.DefensiveStrategy,35,249,77,74,304
4,Player 3,strategies.DefensiveStrategy,40,249,57,64,309
4,Player 4,strategies.RandomStrategy,0,249,104,99,20
5,Player 1,strategies.DefensiveStrategy,33,424,300,1264,269
5,Player 2,strategies.DefensiveStrategy,36,424,264,1099,261
5,Player 3,strategies.DefensiveStrategy,34,424,245,1063,285
5,Player 4,strategies.AggressiveStrategy,0,424,3055,438,18
6,Player 1,strategies.DefensiveStrategy,25,259,107,243,285
6,Player 2,strategies.DefensiveStrategy,36,259,95,207,302
6,Player 3,strategies.MixedStrategy,20,259,492,138,242
6,Player 4,strategies.DefensiveStrategy,25,259,162,268,283
7,Player 1,strategies.DefensiveStrategy,36,277,118,350,297
7,Player 2,strategies.DefensiveStrategy,32,277,139,370,287
7,Player 3,strategies.MixedStrategy,20,277,462,250,229
7,Player 4,strategies.MixedStrategy,12,277,521,270,225
8,Player 1,strategies.DefensiveStrategy,12,222,99,213,242
8,Player 2,strategies.DefensiveStrategy,18,222,93,204,253
8,Player 3,strategies.MixedStrategy,6,222,423,123,186
8,Player 4,strategies.MoveFirstStrategy,67,222,139,214,358
9,Player 1,strategies.DefensiveStrategy,16,239,117,222,250
9,Player 2,strategies.DefensiveStrategy,26,239,113,231,268
9,Player 3,strategies.MixedStrategy,16,239,478,110,212
9,Player 4,strategies.MoveLastStrategy,46,239,108,253,287
10,Player 1,strategies.DefensiveStrategy,36,269,113,231,304
10,Player 2,strategies.DefensiveStrategy,39,269,91,209,306
10,Player 3,strategies.MixedStrategy,27,269,612,143,251
10,Player 4,strategies.RandomStrategy,0,269,179,412,14
11,Player 1,strategies.DefensiveStrategy,39,457,313,1404,284
11,Player 2,strategies.DefensiveStrategy,52,457,249,1146,312
11,Player 3,strategies.MixedStrategy,10,457,754,1197,172
11,Player 4,strategies.AggressiveStrategy,0,457,3162,731,43
12,Player 1,strategies.DefensiveStrategy,14,197,66,83,249
12,Player 2,strategies.DefensiveStrategy,14,197,70,58,245
12,Player 3,strategies.MoveFirstStrategy,58,197,84,90,343
12,Player 4,strategies.DefensiveStrategy,19,197,92,81,249
13,Player 1,strategies.DefensiveStrategy,19,227,103,239,256
13,Player 2,strategies.DefensiveStrategy,14,227,109,213,239
13,Player 3,strategies.MoveFirstStrategy,62,227,107,210,345
13,Player 4,strategies.MixedStrategy,8,227,440,97,196
14,Player 1,strategies.DefensiveStrategy,10,192,73,79,239
14,Player 2,strategies.DefensiveStrategy,9,192,90,92,229
14,Player 3,strategies.MoveFirstStrategy,41,192,80,70,316
14,Player 4,strategies.MoveFirstStrategy,44,192,68,70,326
15,Player 1,strategies.DefensiveStrategy,8,200,126,93,241
15,Player 2,strategies.DefensiveStrategy,11,200,95,89,235
15,Player 3,strategies.MoveFirstStrategy,52,200,79,87,332
15,Player 4,strategies.MoveLastStrategy,36,200,59,90,275
16,Player 1,strategies.DefensiveStrategy,16,212,106,89,265
16,Player 2,strategies.DefensiveStrategy,11,212,75,92,238
16,Player 3,strategies.MoveFirstStrategy,74,212,83,81,369
16,Player 4,strategies.RandomStrategy,0,212,95,97,15
17,Player 1,strategies.DefensiveStrategy,22,374,309,1213,225
17,Player 2,strategies.DefensiveStrategy,16,374,260,1067,211
17,Player 3,strategies.MoveFirstStrategy,63,374,233,967,327
17,Player 4,strategies.AggressiveStrategy,0,374,2874,429,18
18,Player 1,strategies.DefensiveStrategy,20,213,105,79,274
18,Player 2,strategies.DefensiveStrategy,14,213,76,92,254
18,Player 3,strategies.MoveLastStrategy,49,213,55,92,308
18,Player 4,strategies.DefensiveStrategy,18,213,111,84,268
19,Player 1,strategies.DefensiveStrategy,25,249,147,284,285
19,Player 2,strategies.DefensiveStrategy,18,249,114,250,265
19,Player 3,strategies.MoveLastStrategy,46,249,95,304,270
19,Player 4,strategies.MixedStrategy,15,249,619,137,226
20,Player 1,strategies.DefensiveStrategy,13,202,112,84,267
20,Player 2,strategies.DefensiveStrategy,12,202,74,96,238
20,Player 3,strategies.MoveLastStrategy,38,202,64,107,272
20,Player 4,strategies.MoveFirstStrategy,42,202,101,64,324
